ID	BARCODE	PRIMER	ERROR
M05295:78:000000000-BJNBT:1:1102:16268:1890		IGH.forP2_08N	0.631578947368421
M05295:78:000000000-BJNBT:1:1102:19854:1891		IGH.forP4.1_12N	0.7058823529411764
M05295:78:000000000-BJNBT:1:1102:9889:1894		IGH.forP2_08N	0.6842105263157895
M05295:78:000000000-BJNBT:1:1102:8672:1904		IGH.forP135_08N	0.0
M05295:78:000000000-BJNBT:1:1102:16086:1890		IGH.forP1_08N	0.6470588235294117
M05295:78:000000000-BJNBT:1:1102:22907:1897		IGH.forP1_08N	0.5882352941176471
M05295:78:000000000-BJNBT:1:1102:7574:1895		IGH.forP4.1_12N	0.5294117647058824
M05295:78:000000000-BJNBT:1:1102:22078:1897		IGH.forP2_08N	0.6842105263157895
M05295:78:000000000-BJNBT:1:1102:13447:1900		IGH.forP2_08N	0.631578947368421
M05295:78:000000000-BJNBT:1:1102:10428:1896		IGH.forP2_08N	0.6842105263157895
M05295:78:000000000-BJNBT:1:1102:20570:1897		IGH.forP4.1_12N	0.7058823529411764
M05295:78:000000000-BJNBT:1:1102:9388:1895		IGH.forP2_08N	0.631578947368421
M05295:78:000000000-BJNBT:1:1102:17124:1902		IGH.forP2_08N	0.6842105263157895
M05295:78:000000000-BJNBT:1:1102:7609:1899		IGH.forP2_08N	0.6842105263157895
M05295:78:000000000-BJNBT:1:1102:15226:1899		IGH.forP135_08N	0.0
M05295:78:000000000-BJNBT:1:1102:22840:1899		IGH.forP2_08N	0.6842105263157895
M05295:78:000000000-BJNBT:1:1102:12313:1906		IGH.forP4.1_12N	0.5294117647058824
M05295:78:000000000-BJNBT:1:1102:8879:1898		IGH.forP2_08N	0.6842105263157895
M05295:78:000000000-BJNBT:1:1102:17312:1893		IGH.forP2_08N	0.6842105263157895
M05295:78:000000000-BJNBT:1:1102:21427:1902		IGH.forP4.2_12N	0.5555555555555556
M05295:78:000000000-BJNBT:1:1102:17033:1906		IGH.forP4.1_12N	0.0
M05295:78:000000000-BJNBT:1:1102:19756:1895		IGH.forP135_08N	0.0
M05295:78:000000000-BJNBT:1:1102:10368:1900		IGH.forP135_08N	0.0
M05295:78:000000000-BJNBT:1:1102:11184:1905		IGH.forP1_08N	0.6470588235294117
M05295:78:000000000-BJNBT:1:1102:11592:1906		IGH.forP135_08N	0.0
M05295:78:000000000-BJNBT:1:1102:11327:1899		IGH.forP135_08N	0.0
M05295:78:000000000-BJNBT:1:1102:9854:1900		IGH.forP4.2_12N	0.5555555555555556
M05295:78:000000000-BJNBT:1:1102:14154:1899		IGH.forP4.1_12N	0.0
M05295:78:000000000-BJNBT:1:1102:8272:1906		IGH.forP135_08N	0.0
M05295:78:000000000-BJNBT:1:1102:12934:1908		IGH.forP2_08N	0.631578947368421
M05295:78:000000000-BJNBT:1:1102:8988:1907		IGH.forP4.1_12N	0.47058823529411764
M05295:78:000000000-BJNBT:1:1102:10242:1905		IGH.forP4.1_12N	0.5294117647058824
M05295:78:000000000-BJNBT:1:1102:14064:1890		IGH.forP4.1_12N	0.4117647058823529
M05295:78:000000000-BJNBT:1:1102:14205:1906		IGH.forP2_08N	0.631578947368421
M05295:78:000000000-BJNBT:1:1102:13333:1907		IGH.forP1_08N	0.6470588235294117
M05295:78:000000000-BJNBT:1:1102:11444:1907		IGH.forP4.1_12N	0.0
M05295:78:000000000-BJNBT:1:1102:15814:1907		IGH.forP4.1_12N	0.0
M05295:78:000000000-BJNBT:1:1102:17581:1907		IGH.forP1_08N	0.6470588235294117
M05295:78:000000000-BJNBT:1:1102:13630:1907		IGH.forP2_08N	0.6842105263157895
M05295:78:000000000-BJNBT:1:1102:19998:1902		IGH.forP2_08N	0.0
M05295:78:000000000-BJNBT:1:1102:16575:1903		IGH.forP4.1_12N	0.0
M05295:78:000000000-BJNBT:1:1102:18491:1908		IGH.forP4.1_12N	0.5882352941176471
M05295:78:000000000-BJNBT:1:1102:22607:1908		IGH.forP4.1_12N	0.0
M05295:78:000000000-BJNBT:1:1102:14448:1908		IGH.forP4.1_12N	0.47058823529411764
M05295:78:000000000-BJNBT:1:1102:19463:1908		IGH.forP2_08N	0.6842105263157895
M05295:78:000000000-BJNBT:1:1102:16681:1908		IGH.forP2_08N	0.5789473684210527
M05295:78:000000000-BJNBT:1:1102:19656:1908		IGH.forP135_08N	0.052631578947368474
M05295:78:000000000-BJNBT:1:1102:7462:1909		IGH.forP2_08N	0.631578947368421
M05295:78:000000000-BJNBT:1:1102:10686:1915		IGH.forP1_08N	0.6470588235294117
