ID	QUALITY
M05295:78:000000000-BJNBT:1:1102:13644:1762	11.863333333333333
M05295:78:000000000-BJNBT:1:1102:15685:1830	11.916666666666666
M05295:78:000000000-BJNBT:1:1102:19081:1803	11.25
M05295:78:000000000-BJNBT:1:1102:8262:1841	11.21
M05295:78:000000000-BJNBT:1:1102:16455:1853	11.03
M05295:78:000000000-BJNBT:1:1102:19540:1843	11.926666666666666
M05295:78:000000000-BJNBT:1:1102:16129:1866	11.686666666666667
M05295:78:000000000-BJNBT:1:1102:22909:1867	11.18
M05295:78:000000000-BJNBT:1:1102:13650:1860	12.68
M05295:78:000000000-BJNBT:1:1102:9585:1863	12.103333333333333
M05295:78:000000000-BJNBT:1:1102:13855:1844	11.18
M05295:78:000000000-BJNBT:1:1102:14996:1869	11.793333333333333
M05295:78:000000000-BJNBT:1:1102:8699:1845	12.086666666666666
M05295:78:000000000-BJNBT:1:1102:15239:1814	11.91
M05295:78:000000000-BJNBT:1:1102:9360:1861	12.38
M05295:78:000000000-BJNBT:1:1102:20234:1810	11.633333333333333
M05295:78:000000000-BJNBT:1:1102:20262:1871	11.5
M05295:78:000000000-BJNBT:1:1102:11050:1870	12.386666666666667
M05295:78:000000000-BJNBT:1:1102:12986:1871	13.186666666666667
M05295:78:000000000-BJNBT:1:1102:15963:1872	12.656666666666666
M05295:78:000000000-BJNBT:1:1102:17527:1874	11.646666666666667
M05295:78:000000000-BJNBT:1:1102:11974:1868	12.886666666666667
M05295:78:000000000-BJNBT:1:1102:17607:1873	11.633333333333333
M05295:78:000000000-BJNBT:1:1102:19803:1863	12.37
M05295:78:000000000-BJNBT:1:1102:13882:1874	12.253333333333334
M05295:78:000000000-BJNBT:1:1102:19163:1878	12.486666666666666
M05295:78:000000000-BJNBT:1:1102:11516:1876	13.216666666666667
M05295:78:000000000-BJNBT:1:1102:14911:1879	12.48
M05295:78:000000000-BJNBT:1:1102:20062:1880	11.783333333333333
M05295:78:000000000-BJNBT:1:1102:15449:1882	11.413333333333334
M05295:78:000000000-BJNBT:1:1102:16220:1882	12.25
M05295:78:000000000-BJNBT:1:1102:10412:1879	11.69
M05295:78:000000000-BJNBT:1:1102:20689:1883	11.216666666666667
M05295:78:000000000-BJNBT:1:1102:20088:1884	12.586666666666666
M05295:78:000000000-BJNBT:1:1102:13931:1884	11.886666666666667
M05295:78:000000000-BJNBT:1:1102:16717:1884	11.426666666666666
M05295:78:000000000-BJNBT:1:1102:16008:1885	12.04
M05295:78:000000000-BJNBT:1:1102:14019:1893	12.45
M05295:78:000000000-BJNBT:1:1102:19756:1895	12.466666666666667
M05295:78:000000000-BJNBT:1:1102:18290:1887	11.83
M05295:78:000000000-BJNBT:1:1102:13953:1889	12.62
M05295:78:000000000-BJNBT:1:1102:13859:1889	13.153333333333334
M05295:78:000000000-BJNBT:1:1102:15414:1884	12.796666666666667
M05295:78:000000000-BJNBT:1:1102:16086:1890	12.31
M05295:78:000000000-BJNBT:1:1102:19833:1891	12.07
M05295:78:000000000-BJNBT:1:1102:14064:1890	12.916666666666666
M05295:78:000000000-BJNBT:1:1102:22078:1897	11.57
M05295:78:000000000-BJNBT:1:1102:8610:1888	13.143333333333333
M05295:78:000000000-BJNBT:1:1102:14795:1886	11.386666666666667
M05295:78:000000000-BJNBT:1:1102:17312:1893	12.326666666666666
M05295:78:000000000-BJNBT:1:1102:7848:1893	11.71
M05295:78:000000000-BJNBT:1:1102:16268:1890	12.676666666666666
M05295:78:000000000-BJNBT:1:1102:9889:1894	13.703333333333333
M05295:78:000000000-BJNBT:1:1102:17653:1895	12.153333333333334
M05295:78:000000000-BJNBT:1:1102:17707:1886	12.84
M05295:78:000000000-BJNBT:1:1102:9388:1895	13.153333333333334
M05295:78:000000000-BJNBT:1:1102:7574:1895	13.003333333333334
M05295:78:000000000-BJNBT:1:1102:10428:1896	12.646666666666667
M05295:78:000000000-BJNBT:1:1102:13824:1896	12.76
M05295:78:000000000-BJNBT:1:1102:18363:1896	12.623333333333333
M05295:78:000000000-BJNBT:1:1102:11089:1901	12.723333333333333
M05295:78:000000000-BJNBT:1:1102:14238:1896	12.69
M05295:78:000000000-BJNBT:1:1102:15175:1902	12.22
M05295:78:000000000-BJNBT:1:1102:22907:1897	12.03
M05295:78:000000000-BJNBT:1:1102:14296:1898	11.816666666666666
M05295:78:000000000-BJNBT:1:1102:8879:1898	13.006666666666666
M05295:78:000000000-BJNBT:1:1102:14154:1899	13.003333333333334
M05295:78:000000000-BJNBT:1:1102:7609:1899	13.613333333333333
M05295:78:000000000-BJNBT:1:1102:22840:1899	12.24
M05295:78:000000000-BJNBT:1:1102:15226:1899	12.173333333333334
M05295:78:000000000-BJNBT:1:1102:11327:1899	12.85
M05295:78:000000000-BJNBT:1:1102:13447:1900	12.823333333333334
M05295:78:000000000-BJNBT:1:1102:9854:1900	12.933333333333334
M05295:78:000000000-BJNBT:1:1102:10368:1900	12.966666666666667
